Time;Strain;Strain Derivative;Reduced Relaxation Function;Reduced Relaxation Function Derivative;Elastic Response;Elastic Response Derivative;Stress;Stress by Integral;Stress by dG
0;0;0;1;-0.017441562;0;0;0;0;0
0.1;0.0002;0.002;0.998294275;-0.016679554;0.008976717;0.089822573;0.011976343;0.008968357;0.008971499
0.2;0.0004;0.002;0.9966628;-0.015956231;0.017964519;0.089933482;0.01795148;0.017935955;0.017934111
0.3;0.0006;0.002;0.995101806;-0.015269594;0.026963418;0.090044529;0.029927651;0.02689552;0.026898241
0.4;0.0008;0.002;0.993607721;-0.014617749;0.035973429;0.090155712;0.035889077;0.035857007;0.035855164
0.5;0.001;0.002;0.992177157;-0.013998898;0.044994565;0.090267033;0.047867589;0.044812056;0.044814398
0.6;0.0012;0.002;0.990806899;-0.013411336;0.054026841;0.090378491;0.047792422;0.053769782;0.05376794
0.7;0.0014;0.002;0.9894939;-0.012853448;0.063070268;0.090490087;0.053735434;0.062722511;0.062724511
0.8;0.0016;0.002;0.988235271;-0.012323701;0.072124863;0.090601821;0.065701485;0.0716786;0.071676758
0.9;0.0018;0.002;0.987028271;-0.011820642;0.081190637;0.090713692;0.071636236;0.080630991;0.080632683
1;0.002;0.002;0.985870299;-0.011342893;0.090267606;0.090825702;0.083609855;0.08958736;0.089585518
1.1;0.0022;0.002;0.984758892;-0.010889148;0.099355782;0.09093785;0.089538167;0.098541207;0.09854262
1.2;0.0024;0.002;0.983691711;-0.010458169;0.10845518;0.091050137;0.101521119;0.107499591;0.107497748
1.3;0.0026;0.002;0.982666539;-0.01004878;0.117565814;0.091162562;0.119599644;0.116456515;0.116457676
1.4;0.0028;0.002;0.981681273;-0.009659868;0.126687697;0.091275126;0.125523531;0.125418483;0.125416639
1.5;0.003;0.002;0.980733918;-0.009290376;0.135820844;0.091387829;0.137543773;0.134379951;0.134380884
1.6;0.0032;0.002;0.979822583;-0.008939304;0.144965268;0.091500671;0.143465046;0.143346922;0.143345078
1.7;0.0034;0.002;0.978945475;-0.008605701;0.154120983;0.091613653;0.155498397;0.152314263;0.15231499
1.8;0.0036;0.002;0.978100891;-0.008288667;0.163288003;0.091726774;0.161418332;0.161287525;0.161285679
