Time;Strain;Reduced Relaxation Function;Elastic Response;Stress;;
0;0.06;1;0;2.28012;;
0.1;0.06;0.999127582;2.28012;2.278130782;;
0.2;0.06;0.998259381;2.28012;2.276151179;;
0.3;0.06;0.997395375;2.28012;2.274181142;;
0.4;0.06;0.996535542;2.28012;2.272220621;;
0.5;0.06;0.995679862;2.28012;2.270269567;;
0.6;0.06;0.994828313;2.28012;2.268327934;;
0.7;0.06;0.993980874;2.28012;2.266395671;;
0.8;0.06;0.993137524;2.28012;2.264472732;;
0.9;0.06;0.992298242;2.28012;2.262559069;;
1;0.06;0.991463008;2.28012;2.260654633;;
1.1;0.06;0.9906318;2.28012;2.258759379;;
1.2;0.06;0.989804597;2.28012;2.256873259;;
1.3;0.06;0.988981381;2.28012;2.254996226;;
1.4;0.06;0.988162129;2.28012;2.253128234;;
1.5;0.06;0.987346822;2.28012;2.251269236;;
1.6;0.06;0.98653544;2.28012;2.249419187;;
1.7;0.06;0.985727962;2.28012;2.247578041;;
1.8;0.06;0.984924369;2.28012;2.245745753;;
1.9;0.06;0.984124641;2.28012;2.243922276;;
2;0.06;0.983328757;2.28012;2.242107566;;
2.1;0.06;0.982536699;2.28012;2.240301579;;
2.2;0.06;0.981748447;2.28012;2.238504268;;
2.3;0.06;0.980963981;2.28012;2.236715591;;
2.4;0.06;0.980183281;2.28012;2.234935503;;
2.5;0.06;0.97940633;2.28012;2.23316396;;
2.6;0.06;0.978633107;2.28012;2.231400919;;
2.7;0.06;0.977863593;2.28012;2.229646335;;
2.8;0.06;0.97709777;2.28012;2.227900166;;
2.9;0.06;0.976335618;2.28012;2.226162369;;
3;0.06;0.975577119;2.28012;2.2244329;;
3.1;0.06;0.974822254;2.28012;2.222711718;;
3.2;0.06;0.974071005;2.28012;2.22099878;;
3.3;0.06;0.973323353;2.28012;2.219294043;;
3.4;0.06;0.972579279;2.28012;2.217597466;;
3.5;0.06;0.971838766;2.28012;2.215909007;;
3.6;0.06;0.971101795;2.28012;2.214228625;;
3.7;0.06;0.970368348;2.28012;2.212556278;;
3.8;0.06;0.969638407;2.28012;2.210891926;;
3.9;0.06;0.968911955;2.28012;2.209235526;;
4;0.06;0.968188972;2.28012;2.20758704;;
4.1;0.06;0.967469442;2.28012;2.205946425;;
4.2;0.06;0.966753347;2.28012;2.204313643;;
4.3;0.06;0.96604067;2.28012;2.202688652;;
4.4;0.06;0.965331392;2.28012;2.201071414;;
4.5;0.06;0.964625497;2.28012;2.199461888;;
4.6;0.06;0.963922967;2.28012;2.197860035;;
4.7;0.06;0.963223785;2.28012;2.196265816;;
4.8;0.06;0.962527934;2.28012;2.194679192;;
4.9;0.06;0.961835396;2.28012;2.193100124;;
5;0.06;0.961146156;2.28012;2.191528573;;
5.1;0.06;0.960460196;2.28012;2.189964501;;
5.2;0.06;0.959777499;2.28012;2.18840787;;
5.3;0.06;0.959098048;2.28012;2.186858642;;
5.4;0.06;0.958421828;2.28012;2.185316779;;
5.5;0.06;0.957748821;2.28012;2.183782243;;
5.6;0.06;0.957079012;2.28012;2.182254997;;
5.7;0.06;0.956412383;2.28012;2.180735003;;
5.8;0.06;0.955748919;2.28012;2.179222225;;
5.9;0.06;0.955088603;2.28012;2.177716625;;
6;0.06;0.954431419;2.28012;2.176218167;;
6.1;0.06;0.953777352;2.28012;2.174726815;;
6.2;0.06;0.953126385;2.28012;2.173242532;;
6.3;0.06;0.952478502;2.28012;2.171765282;;
6.4;0.06;0.951833688;2.28012;2.170295029;;
6.5;0.06;0.951191927;2.28012;2.168831737;;
6.6;0.06;0.950553204;2.28012;2.167375371;;
6.7;0.06;0.949917503;2.28012;2.165925896;;
6.8;0.06;0.949284808;2.28012;2.164483276;;
6.9;0.06;0.948655104;2.28012;2.163047475;;
7;0.06;0.948028376;2.28012;2.16161846;;
7.1;0.06;0.947404609;2.28012;2.160196196;;
7.2;0.06;0.946783787;2.28012;2.158780648;;
7.3;0.06;0.946165896;2.28012;2.157371782;;
7.4;0.06;0.94555092;2.28012;2.155969563;;
7.5;0.06;0.944938845;2.28012;2.154573958;;
7.6;0.06;0.944329655;2.28012;2.153184934;;
7.7;0.06;0.943723337;2.28012;2.151802455;;
7.8;0.06;0.943119875;2.28012;2.150426489;;
7.9;0.06;0.942519255;2.28012;2.149057004;;
8;0.06;0.941921462;2.28012;2.147693964;;
8.1;0.06;0.941326482;2.28012;2.146337338;;
8.2;0.06;0.940734301;2.28012;2.144987093;;
8.3;0.06;0.940144903;2.28012;2.143643197;;
8.4;0.06;0.939558276;2.28012;2.142305616;;
8.5;0.06;0.938974404;2.28012;2.140974319;;
8.6;0.06;0.938393275;2.28012;2.139649273;;
8.7;0.06;0.937814873;2.28012;2.138330447;;
8.8;0.06;0.937239184;2.28012;2.137017809;;
8.9;0.06;0.936666196;2.28012;2.135711327;;
9;0.06;0.936095894;2.28012;2.13441097;;
9.1;0.06;0.935528264;2.28012;2.133116706;;
9.2;0.06;0.934963293;2.28012;2.131828504;;
9.3;0.06;0.934400968;2.28012;2.130546335;;
9.4;0.06;0.933841274;2.28012;2.129270165;;
9.5;0.06;0.933284198;2.28012;2.127999966;;
9.6;0.06;0.932729727;2.28012;2.126735706;;
9.7;0.06;0.932177848;2.28012;2.125477356;;
9.8;0.06;0.931628548;2.28012;2.124224884;;
9.9;0.06;0.931081812;2.28012;2.122978262;;
10;0.06;0.930537629;2.28012;2.121737458;;
10.1;0.06;0.929995985;2.28012;2.120502444;;
10.2;0.06;0.929456866;2.28012;2.11927319;;
10.3;0.06;0.928920261;2.28012;2.118049667;;
10.4;0.06;0.928386157;2.28012;2.116831844;;
10.5;0.06;0.92785454;2.28012;2.115619694;;
10.6;0.06;0.927325398;2.28012;2.114413187;;
10.7;0.06;0.926798719;2.28012;2.113212294;;
10.8;0.06;0.926274489;2.28012;2.112016987;;
10.9;0.06;0.925752696;2.28012;2.110827238;;
11;0.06;0.925233328;2.28012;2.109643017;;
11.1;0.06;0.924716373;2.28012;2.108464296;;
11.2;0.06;0.924201818;2.28012;2.107291049;;
11.3;0.06;0.92368965;2.28012;2.106123245;;
11.4;0.06;0.923179859;2.28012;2.104960859;;
11.5;0.06;0.92267243;2.28012;2.103803862;;
11.6;0.06;0.922167354;2.28012;2.102652227;;
11.7;0.06;0.921664617;2.28012;2.101505925;;
11.8;0.06;0.921164207;2.28012;2.100364931;;
11.9;0.06;0.920666113;2.28012;2.099229217;;
12;0.06;0.920170323;2.28012;2.098098757;;
12.1;0.06;0.919676825;2.28012;2.096973522;;
12.2;0.06;0.919185607;2.28012;2.095853487;;
12.3;0.06;0.918696659;2.28012;2.094738625;;
12.4;0.06;0.918209967;2.28012;2.09362891;;
12.5;0.06;0.917725521;2.28012;2.092524315;;
12.6;0.06;0.917243309;2.28012;2.091424814;;
12.7;0.06;0.916763321;2.28012;2.090330382;;
12.8;0.06;0.916285543;2.28012;2.089240993;;
12.9;0.06;0.915809966;2.28012;2.08815662;;
13;0.06;0.915336578;2.28012;2.087077238;;
13.1;0.06;0.914865368;2.28012;2.086002822;;
13.2;0.06;0.914396324;2.28012;2.084933346;;
