Time;Strain;Reduced Relaxation Function;Elastic Response;Stress
0;0.06;1;0;4.09225
0.1;0.06;0.997194681;4.09225;4.080769932
0.2;0.06;0.994595429;4.09225;4.070133145
0.3;0.06;0.992183599;4.09225;4.060263331
0.4;0.06;0.989942276;4.09225;4.051091277
0.5;0.06;0.987856119;4.09225;4.042554202
0.6;0.06;0.985911213;4.09225;4.03459516
0.7;0.06;0.984094933;4.09225;4.027162489
0.8;0.06;0.982395828;4.09225;4.020209326
0.9;0.06;0.980803507;4.09225;4.013693152
1;0.06;0.979308545;4.09225;4.007575393
1.1;0.06;0.977902388;4.09225;4.001821046
1.2;0.06;0.976577274;4.09225;3.99639835
1.3;0.06;0.975326161;4.09225;3.991278483
1.4;0.06;0.974142657;4.09225;3.986435286
1.5;0.06;0.973020958;4.09225;3.981845017
1.6;0.06;0.9719558;4.09225;3.977486123
1.7;0.06;0.970942401;4.09225;3.97333904
1.8;0.06;0.96997642;4.09225;3.969386003
1.9;0.06;0.969053914;4.09225;3.965610881
2;0.06;0.968171305;4.09225;3.961999025
2.1;0.06;0.967325341;4.09225;3.958537127
2.2;0.06;0.966513067;4.09225;3.9552131
2.3;0.06;0.9657318;4.09225;3.95201596
2.4;0.06;0.9649791;4.09225;3.948935724
2.5;0.06;0.964252751;4.09225;3.945963319
2.6;0.06;0.963550735;4.09225;3.943090496
2.7;0.06;0.962871221;4.09225;3.940309753
2.8;0.06;0.96221254;4.09225;3.937614265
2.9;0.06;0.961573175;4.09225;3.934997824
3;0.06;0.960951745;4.09225;3.932454777
3.1;0.06;0.960346992;4.09225;3.929979979
3.2;0.06;0.959757772;4.09225;3.927568743
3.3;0.06;0.959183041;4.09225;3.9252168
3.4;0.06;0.958621848;4.09225;3.922920256
3.5;0.06;0.958073325;4.09225;3.920675563
3.6;0.06;0.957536681;4.09225;3.918479481
3.7;0.06;0.957011193;4.09225;3.916329055
3.8;0.06;0.956496202;4.09225;3.914221584
3.9;0.06;0.955991105;4.09225;3.912154601
4;0.06;0.955495351;4.09225;3.910125849
4.1;0.06;0.955008434;4.09225;3.908133263
4.2;0.06;0.954529892;4.09225;3.906174952
4.3;0.06;0.954059303;4.09225;3.904249184
4.4;0.06;0.953596278;4.09225;3.902354369
4.5;0.06;0.95314046;4.09225;3.900489047
4.6;0.06;0.952691521;4.09225;3.898651877
4.7;0.06;0.952249161;4.09225;3.896841627
