Time;Strain;Reduced Relaxation Function;Elastic Response;Stress
0;0.06;1;0;3.79098
0.1;0.06;0.998294275;3.79098;3.784513631
0.2;0.06;0.9966628;3.79098;3.778328741
0.3;0.06;0.995101806;3.79098;3.772411046
0.4;0.06;0.993607721;3.79098;3.766747
0.5;0.06;0.992177157;3.79098;3.761323758
0.6;0.06;0.990806899;3.79098;3.756129138
0.7;0.06;0.9894939;3.79098;3.751151587
0.8;0.06;0.988235271;3.79098;3.746380149
0.9;0.06;0.987028271;3.79098;3.741804434
1;0.06;0.985870299;3.79098;3.737414588
1.1;0.06;0.984758892;3.79098;3.733201265
1.2;0.06;0.983691711;3.79098;3.729155603
1.3;0.06;0.982666539;3.79098;3.725269195
1.4;0.06;0.981681273;3.79098;3.72153407
1.5;0.06;0.980733918;3.79098;3.717942668
1.6;0.06;0.979822583;3.79098;3.714487817
1.7;0.06;0.978945475;3.79098;3.711162716
1.8;0.06;0.978100891;3.79098;3.707960916
1.9;0.06;0.977287218;3.79098;3.704876297
2;0.06;0.976502924;3.79098;3.701903057
2.1;0.06;0.975746559;3.79098;3.699035692
2.2;0.06;0.975016745;3.79098;3.696268982
2.3;0.06;0.974312177;3.79098;3.693597975
2.4;0.06;0.973631614;3.79098;3.691017974
2.5;0.06;0.972973881;3.79098;3.688524525
2.6;0.06;0.972337865;3.79098;3.686113401
2.7;0.06;0.971722508;3.79098;3.683780593
2.8;0.06;0.971126806;3.79098;3.681522299
2.9;0.06;0.970549808;3.79098;3.679334912
3;0.06;0.969990612;3.79098;3.677215009
3.1;0.06;0.96944836;3.79098;3.675159346
3.2;0.06;0.968922242;3.79098;3.67316484
3.3;0.06;0.968411485;3.79098;3.671228572
3.4;0.06;0.967915359;3.79098;3.669347769
3.5;0.06;0.967433171;3.79098;3.667519802
3.6;0.06;0.966964261;3.79098;3.665742175
3.7;0.06;0.966508006;3.79098;3.66401252
3.8;0.06;0.966063813;3.79098;3.662328593
3.9;0.06;0.965631119;3.79098;3.66068826
4;0.06;0.965209392;3.79098;3.6590895
4.1;0.06;0.964798125;3.79098;3.657530394
4.2;0.06;0.964396837;3.79098;3.656009121
4.3;0.06;0.964005073;3.79098;3.654523951
4.4;0.06;0.9636224;3.79098;3.653073245
4.5;0.06;0.963248407;3.79098;3.651655446
4.6;0.06;0.962882705;3.79098;3.650269076
4.7;0.06;0.962524923;3.79098;3.648912734
4.8;0.06;0.962174711;3.79098;3.647585088
4.9;0.06;0.961831736;3.79098;3.646284874
5;0.06;0.96149568;3.79098;3.645010892
