Time;Strain;Reduced Relaxation Function;Elastic Response;Stress
0;0.06;1;0;1.58844
0.1;0.06;0.997615617;1.58844;1.584652551
0.2;0.06;0.995415522;1.58844;1.581157832
0.3;0.06;0.993382216;1.58844;1.577928048
0.4;0.06;0.991499908;1.58844;1.574938114
0.5;0.06;0.989754346;1.58844;1.572165393
0.6;0.06;0.988132665;1.58844;1.569589451
0.7;0.06;0.986623256;1.58844;1.567191844
0.8;0.06;0.985215636;1.58844;1.564955925
0.9;0.06;0.983900346;1.58844;1.562866666
1;0.06;0.982668843;1.58844;1.560910497
1.1;0.06;0.981513416;1.58844;1.559075171
1.2;0.06;0.980427102;1.58844;1.557349626
1.3;0.06;0.979403613;1.58844;1.555723875
1.4;0.06;0.978437271;1.58844;1.554188898
1.5;0.06;0.977522946;1.58844;1.552736548
1.6;0.06;0.976656006;1.58844;1.551359466
1.7;0.06;0.975832266;1.58844;1.550051004
1.8;0.06;0.975047943;1.58844;1.548805155
1.9;0.06;0.974299621;1.58844;1.54761649
2;0.06;0.973584211;1.58844;1.546480104
2.1;0.06;0.972898921;1.58844;1.545391561
2.2;0.06;0.972241225;1.58844;1.544346852
2.3;0.06;0.971608842;1.58844;1.543342348
2.4;0.06;0.970999705;1.58844;1.542374771
2.5;0.06;0.970411946;1.58844;1.541441152
2.6;0.06;0.969843875;1.58844;1.540538805
2.7;0.06;0.969293959;1.58844;1.539665297
2.8;0.06;0.968760814;1.58844;1.538818427
2.9;0.06;0.968243182;1.58844;1.537996199
3;0.06;0.967739925;1.58844;1.537196806
3.1;0.06;0.967250012;1.58844;1.536418609
3.2;0.06;0.966772506;1.58844;1.53566012
3.3;0.06;0.966306559;1.58844;1.534919991
3.4;0.06;0.965851399;1.58844;1.534196996
3.5;0.06;0.965406326;1.58844;1.533490024
3.6;0.06;0.964970702;1.58844;1.532798062
3.7;0.06;0.964543949;1.58844;1.532120191
3.8;0.06;0.964125541;1.58844;1.531455574
3.9;0.06;0.963714995;1.58844;1.530803447
