Time;Strain;Strain Derivative;Reduced Relaxation Function;Reduced Relaxation Function Derivative;Elastic Response;Elastic Response Derivative;Stress
0;0.06;0;1;-0.008745336;0;0;2.28012
0.1;0.06;0;0.999127582;-0.00870306;2.28012;0;2.278130782
0.2;0.06;0;0.998259381;-0.008661001;2.28012;0;2.276151179
0.3;0.06;0;0.997395375;-0.008619157;2.28012;0;2.274181142
0.4;0.06;0;0.996535542;-0.008577527;2.28012;0;2.272220621
0.5;0.06;0;0.995679862;-0.008536109;2.28012;0;2.270269567
0.6;0.06;0;0.994828313;-0.008494904;2.28012;0;2.268327934
0.7;0.06;0;0.993980874;-0.00845391;2.28012;0;2.266395671
0.8;0.06;0;0.993137524;-0.008413125;2.28012;0;2.264472732
0.9;0.06;0;0.992298242;-0.008372548;2.28012;0;2.262559069
1;0.06;0;0.991463008;-0.00833218;2.28012;0;2.260654633
1.1;0.06;0;0.9906318;-0.008292017;2.28012;0;2.258759379
1.2;0.06;0;0.989804597;-0.008252061;2.28012;0;2.256873259
1.3;0.06;0;0.988981381;-0.008212308;2.28012;0;2.254996226
1.4;0.06;0;0.988162129;-0.008172759;2.28012;0;2.253128234
1.5;0.06;0;0.987346822;-0.008133412;2.28012;0;2.251269236
1.6;0.06;0;0.98653544;-0.008094266;2.28012;0;2.249419187
1.7;0.06;0;0.985727962;-0.008055321;2.28012;0;2.247578041
1.8;0.06;0;0.984924369;-0.008016575;2.28012;0;2.245745753
1.9;0.06;0;0.984124641;-0.007978026;2.28012;0;2.243922276
2;0.06;0;0.983328757;-0.007939675;2.28012;0;2.242107566
2.1;0.06;0;0.982536699;-0.00790152;2.28012;0;2.240301579
2.2;0.06;0;0.981748447;-0.007863561;2.28012;0;2.238504268
2.3;0.06;0;0.980963981;-0.007825795;2.28012;0;2.236715591
2.4;0.06;0;0.980183281;-0.007788222;2.28012;0;2.234935503
2.5;0.06;0;0.97940633;-0.007750842;2.28012;0;2.23316396
2.6;0.06;0;0.978633107;-0.007713653;2.28012;0;2.231400919
2.7;0.06;0;0.977863593;-0.007676654;2.28012;0;2.229646335
2.8;0.06;0;0.97709777;-0.007639844;2.28012;0;2.227900166
2.9;0.06;0;0.976335618;-0.007603222;2.28012;0;2.226162369
3;0.06;0;0.975577119;-0.007566787;2.28012;0;2.2244329
3.1;0.06;0;0.974822254;-0.007530539;2.28012;0;2.222711718
3.2;0.06;0;0.974071005;-0.007494476;2.28012;0;2.22099878
3.3;0.06;0;0.973323353;-0.007458598;2.28012;0;2.219294043
3.4;0.06;0;0.972579279;-0.007422903;2.28012;0;2.217597466
3.5;0.06;0;0.971838766;-0.00738739;2.28012;0;2.215909007
3.6;0.06;0;0.971101795;-0.007352059;2.28012;0;2.214228625
3.7;0.06;0;0.970368348;-0.007316909;2.28012;0;2.212556278
3.8;0.06;0;0.969638407;-0.007281938;2.28012;0;2.210891926
3.9;0.06;0;0.968911955;-0.007247146;2.28012;0;2.209235526
4;0.06;0;0.968188972;-0.007212532;2.28012;0;2.20758704
4.1;0.06;0;0.967469442;-0.007178095;2.28012;0;2.205946425
4.2;0.06;0;0.966753347;-0.007143834;2.28012;0;2.204313643
4.3;0.06;0;0.96604067;-0.007109748;2.28012;0;2.202688652
4.4;0.06;0;0.965331392;-0.007075836;2.28012;0;2.201071414
4.5;0.06;0;0.964625497;-0.007042098;2.28012;0;2.199461888
4.6;0.06;0;0.963922967;-0.007008532;2.28012;0;2.197860035
4.7;0.06;0;0.963223785;-0.006975137;2.28012;0;2.196265816
4.8;0.06;0;0.962527934;-0.006941914;2.28012;0;2.194679192
4.9;0.06;0;0.961835396;-0.00690886;2.28012;0;2.193100124
5;0.06;0;0.961146156;-0.006875975;2.28012;0;2.191528573
5.1;0.06;0;0.960460196;-0.006843258;2.28012;0;2.189964501
5.2;0.06;0;0.959777499;-0.006810709;2.28012;0;2.18840787
5.3;0.06;0;0.959098048;-0.006778325;2.28012;0;2.186858642
5.4;0.06;0;0.958421828;-0.006746107;2.28012;0;2.185316779
5.5;0.06;0;0.957748821;-0.006714054;2.28012;0;2.183782243
5.6;0.06;0;0.957079012;-0.006682165;2.28012;0;2.182254997
5.7;0.06;0;0.956412383;-0.006650439;2.28012;0;2.180735003
5.8;0.06;0;0.955748919;-0.006618874;2.28012;0;2.179222225
5.9;0.06;0;0.955088603;-0.006587471;2.28012;0;2.177716625
6;0.06;0;0.954431419;-0.006556229;2.28012;0;2.176218167
6.1;0.06;0;0.953777352;-0.006525146;2.28012;0;2.174726815
6.2;0.06;0;0.953126385;-0.006494222;2.28012;0;2.173242532
6.3;0.06;0;0.952478502;-0.006463456;2.28012;0;2.171765282
