Time;Strain;Strain Derivative;Reduced Relaxation Function;Reduced Relaxation Function Derivative;Elastic Response;Elastic Response Derivative;Stress
0;0.06;0;1;-0.016102539;0;0;1.82552
0.1;0.06;0;0.998417921;-0.015542928;1.82552;0;1.822631883
0.2;0.06;0;0.996890652;-0.015006176;1.82552;0;1.819843824
0.3;0.06;0;0.995415956;-0.014491332;1.82552;0;1.817151736
0.4;0.06;0;0.993991686;-0.013997485;1.82552;0;1.814551703
0.5;0.06;0;0.992615788;-0.013523764;1.82552;0;1.812039973
0.6;0.06;0;0.991286291;-0.013069331;1.82552;0;1.809612949
0.7;0.06;0;0.990001305;-0.012633386;1.82552;0;1.807267183
0.8;0.06;0;0.988759023;-0.01221516;1.82552;0;1.804999371
0.9;0.06;0;0.987557707;-0.011813918;1.82552;0;1.802806346
1;0.06;0;0.986395696;-0.011428954;1.82552;0;1.800685072
1.1;0.06;0;0.985271396;-0.011059592;1.82552;0;1.79863264
1.2;0.06;0;0.98418328;-0.010705184;1.82552;0;1.796646261
1.3;0.06;0;0.983129882;-0.01036511;1.82552;0;1.794723262
1.4;0.06;0;0.9821098;-0.010038774;1.82552;0;1.792861081
1.5;0.06;0;0.981121688;-0.009725606;1.82552;0;1.791057264
1.6;0.06;0;0.980164258;-0.009425059;1.82552;0;1.789309456
1.7;0.06;0;0.979236273;-0.009136611;1.82552;0;1.787615401
1.8;0.06;0;0.978336549;-0.008859758;1.82552;0;1.785972937
1.9;0.06;0;0.977463951;-0.00859402;1.82552;0;1.784379992
2;0.06;0;0.97661739;-0.008338937;1.82552;0;1.782834578
2.1;0.06;0;0.975795823;-0.008094065;1.82552;0;1.781334791
2.2;0.06;0;0.974998251;-0.007858982;1.82552;0;1.779878807
2.3;0.06;0;0.974223714;-0.007633282;1.82552;0;1.778464875
2.4;0.06;0;0.973471295;-0.007416576;1.82552;0;1.777091318
2.5;0.06;0;0.972740112;-0.007208491;1.82552;0;1.775756528
2.6;0.06;0;0.972029321;-0.007008671;1.82552;0;1.774458966
2.7;0.06;0;0.971338113;-0.006816772;1.82552;0;1.773197153
2.8;0.06;0;0.970665713;-0.006632468;1.82552;0;1.771969673
2.9;0.06;0;0.970011377;-0.006455442;1.82552;0;1.770775169
3;0.06;0;0.969374392;-0.006285395;1.82552;0;1.76961234
3.1;0.06;0;0.968754075;-0.006122037;1.82552;0;1.768479939
3.2;0.06;0;0.968149771;-0.005965092;1.82552;0;1.76737677
3.3;0.06;0;0.967560852;-0.005814294;1.82552;0;1.766301686
