Time;Strain;Reduced Relaxation Function;Elastic Response;Stress
0;0.06;1;0;0.85733
0.1;0.06;0.996224791;0.85733;0.8540934
0.2;0.06;0.992916134;0.85733;0.851256789
0.3;0.06;0.990003332;0.85733;0.848759556
0.4;0.06;0.987426665;0.85733;0.846550503
0.5;0.06;0.985135688;0.85733;0.84458638
0.6;0.06;0.983087779;0.85733;0.842830646
0.7;0.06;0.981246922;0.85733;0.841252424
0.8;0.06;0.97958268;0.85733;0.839825619
0.9;0.06;0.978069323;0.85733;0.838528173
1;0.06;0.976685097;0.85733;0.837341434
1.1;0.06;0.975411603;0.85733;0.836249629
1.2;0.06;0.974233277;0.85733;0.835239415
1.3;0.06;0.973136947;0.85733;0.834299499
1.4;0.06;0.972111462;0.85733;0.83342032
1.5;0.06;0.971147376;0.85733;0.83259378
1.6;0.06;0.970236683;0.85733;0.831813016
1.7;0.06;0.969372596;0.85733;0.831072208
1.8;0.06;0.968549355;0.85733;0.830366418
1.9;0.06;0.967762066;0.85733;0.829691452
2;0.06;0.967006571;0.85733;0.829043744
2.1;0.06;0.966279331;0.85733;0.828420259
2.2;0.06;0.965577329;0.85733;0.827818412
2.3;0.06;0.964897994;0.85733;0.827235997
2.4;0.06;0.964239125;0.85733;0.826671129
2.5;0.06;0.96359884;0.85733;0.826122194
2.6;0.06;0.962975525;0.85733;0.825587807
2.7;0.06;0.962367791;0.85733;0.825066778
2.8;0.06;0.96177444;0.85733;0.824558081
2.9;0.06;0.96119444;0.85733;0.824060829
3;0.06;0.960626891;0.85733;0.823574253
3.1;0.06;0.960071015;0.85733;0.823097683
3.2;0.06;0.959526128;0.85733;0.822630536
3.3;0.06;0.958991634;0.85733;0.822172298
3.4;0.06;0.958467007;0.85733;0.821722519
3.5;0.06;0.957951779;0.85733;0.821280798
3.6;0.06;0.957445537;0.85733;0.820846782
3.7;0.06;0.956947911;0.85733;0.820420152
3.8;0.06;0.956458568;0.85733;0.820000624
3.9;0.06;0.955977208;0.85733;0.819587939
4;0.06;0.955503557;0.85733;0.819181865
4.1;0.06;0.955037367;0.85733;0.818782186
4.2;0.06;0.954578409;0.85733;0.818388707
4.3;0.06;0.954126471;0.85733;0.818001247
4.4;0.06;0.953681357;0.85733;0.817619637
4.5;0.06;0.953242883;0.85733;0.817243721
4.6;0.06;0.952810879;0.85733;0.816873351
4.7;0.06;0.952385183;0.85733;0.816508389
4.8;0.06;0.951965643;0.85733;0.816148705
4.9;0.06;0.951552113;0.85733;0.815794173
5;0.06;0.951144456;0.85733;0.815444676
5.1;0.06;0.950742539;0.85733;0.815100101
5.2;0.06;0.950346237;0.85733;0.81476034
5.3;0.06;0.949955429;0.85733;0.814425288
5.4;0.06;0.949569997;0.85733;0.814094845
5.5;0.06;0.949189829;0.85733;0.813768916
5.6;0.06;0.948814815;0.85733;0.813447406
5.7;0.06;0.948444852;0.85733;0.813130225
5.8;0.06;0.948079835;0.85733;0.812817285
5.9;0.06;0.947719665;0.85733;0.812508501
6;0.06;0.947364247;0.85733;0.81220379
6.1;0.06;0.947013486;0.85733;0.811903072
6.2;0.06;0.946667291;0.85733;0.811606268
6.3;0.06;0.946325571;0.85733;0.811313302
6.4;0.06;0.945988241;0.85733;0.811024099
6.5;0.06;0.945655216;0.85733;0.810738586
6.6;0.06;0.945326411;0.85733;0.810456692
6.7;0.06;0.945001748;0.85733;0.810178348
6.8;0.06;0.944681145;0.85733;0.809903486
6.9;0.06;0.944364527;0.85733;0.80963204
7;0.06;0.944051817;0.85733;0.809363944
7.1;0.06;0.943742941;0.85733;0.809099136
7.2;0.06;0.943437827;0.85733;0.808837553
7.3;0.06;0.943136405;0.85733;0.808579134
7.4;0.06;0.942838605;0.85733;0.808323821
7.5;0.06;0.942544359;0.85733;0.808071555
7.6;0.06;0.942253601;0.85733;0.807822279
7.7;0.06;0.941966265;0.85733;0.807575938
7.8;0.06;0.94168229;0.85733;0.807332477
7.9;0.06;0.941401611;0.85733;0.807091843
8;0.06;0.941124169;0.85733;0.806853984
8.1;0.06;0.940849903;0.85733;0.806618848
8.2;0.06;0.940578756;0.85733;0.806386385
8.3;0.06;0.940310669;0.85733;0.806156546
8.4;0.06;0.940045588;0.85733;0.805929284
8.5;0.06;0.939783456;0.85733;0.805704551
