Time;Strain;Reduced Relaxation Function;Elastic Response;Stress
0;0.06;1;0;0.79454
0.1;0.06;0.997401608;0.79454;0.792475474
0.2;0.06;0.995024483;0.79454;0.790586753
0.3;0.06;0.992847072;0.79454;0.788856712
0.4;0.06;0.99084995;0.79454;0.787269919
0.5;0.06;0.989015612;0.79454;0.785812464
0.6;0.06;0.987328279;0.79454;0.784471811
0.7;0.06;0.985773731;0.79454;0.78323666
0.8;0.06;0.98433915;0.79454;0.782096829
0.9;0.06;0.983012985;0.79454;0.781043137
1;0.06;0.981784823;0.79454;0.780067313
1.1;0.06;0.980645276;0.79454;0.779161898
1.2;0.06;0.979585885;0.79454;0.778320169
1.3;0.06;0.978599022;0.79454;0.777536067
1.4;0.06;0.977677812;0.79454;0.776804129
1.5;0.06;0.976816055;0.79454;0.776119429
1.6;0.06;0.976008165;0.79454;0.775477527
1.7;0.06;0.9752491;0.79454;0.77487442
1.8;0.06;0.974534319;0.79454;0.774306498
1.9;0.06;0.973859725;0.79454;0.773770506
2;0.06;0.973221622;0.79454;0.773263507
2.1;0.06;0.972616679;0.79454;0.772782856
2.2;0.06;0.972041891;0.79454;0.772326164
2.3;0.06;0.971494546;0.79454;0.771891277
2.4;0.06;0.9709722;0.79454;0.771476252
2.5;0.06;0.970472645;0.79454;0.771079335
2.6;0.06;0.969993891;0.79454;0.770698946
2.7;0.06;0.969534141;0.79454;0.770333657
2.8;0.06;0.969091774;0.79454;0.769982178
2.9;0.06;0.968665325;0.79454;0.769643347
3;0.06;0.968253472;0.79454;0.769316114
3.1;0.06;0.967855023;0.79454;0.76899953
3.2;0.06;0.967468898;0.79454;0.768692738
3.3;0.06;0.967094123;0.79454;0.768394965
3.4;0.06;0.966729819;0.79454;0.76810551
3.5;0.06;0.966375189;0.79454;0.767823742
3.6;0.06;0.966029513;0.79454;0.76754909
3.7;0.06;0.965692142;0.79454;0.767281035
3.8;0.06;0.965362486;0.79454;0.76701911
3.9;0.06;0.965040012;0.79454;0.766762891
4;0.06;0.964724237;0.79454;0.766511996
4.1;0.06;0.964414725;0.79454;0.766266075
4.2;0.06;0.964111077;0.79454;0.766024815
4.3;0.06;0.963812936;0.79454;0.76578793
4.4;0.06;0.963519974;0.79454;0.76555516
4.5;0.06;0.963231896;0.79454;0.765326271
4.6;0.06;0.962948432;0.79454;0.765101047
4.7;0.06;0.962669338;0.79454;0.764879296
4.8;0.06;0.96239439;0.79454;0.764660839
4.9;0.06;0.962123386;0.79454;0.764445515
5;0.06;0.961856141;0.79454;0.764233178
5.1;0.06;0.961592485;0.79454;0.764023693
5.2;0.06;0.961332265;0.79454;0.763816938
5.3;0.06;0.96107534;0.79454;0.763612801
5.4;0.06;0.960821581;0.79454;0.763411179
5.5;0.06;0.960570868;0.79454;0.763211977
5.6;0.06;0.960323093;0.79454;0.763015111
5.7;0.06;0.960078157;0.79454;0.762820499
5.8;0.06;0.959835967;0.79454;0.762628069
5.9;0.06;0.959596438;0.79454;0.762437754
6;0.06;0.959359492;0.79454;0.762249491
6.1;0.06;0.959125057;0.79454;0.762063222
6.2;0.06;0.958893064;0.79454;0.761878895
6.3;0.06;0.958663451;0.79454;0.761696458
6.4;0.06;0.95843616;0.79454;0.761515867
6.5;0.06;0.958211138;0.79454;0.761337077
6.6;0.06;0.957988332;0.79454;0.761160049
6.7;0.06;0.957767696;0.79454;0.760984745
6.8;0.06;0.957549184;0.79454;0.760811129
6.9;0.06;0.957332756;0.79454;0.760639168
7;0.06;0.957118371;0.79454;0.760468831
7.1;0.06;0.956905993;0.79454;0.760300087
7.2;0.06;0.956695585;0.79454;0.76013291
7.3;0.06;0.956487114;0.79454;0.759967271
7.4;0.06;0.956280548;0.79454;0.759803147
7.5;0.06;0.956075858;0.79454;0.759640512
7.6;0.06;0.955873013;0.79454;0.759479344
7.7;0.06;0.955671987;0.79454;0.75931962
7.8;0.06;0.955472752;0.79454;0.75916132
7.9;0.06;0.955275282;0.79454;0.759004423
8;0.06;0.955079555;0.79454;0.758848909
8.1;0.06;0.954885544;0.79454;0.75869476
8.2;0.06;0.954693229;0.79454;0.758541958
8.3;0.06;0.954502586;0.79454;0.758390485
8.4;0.06;0.954313594;0.79454;0.758240323
8.5;0.06;0.954126232;0.79454;0.758091457
8.6;0.06;0.953940481;0.79454;0.757943869
8.7;0.06;0.953756319;0.79454;0.757797546
8.8;0.06;0.953573729;0.79454;0.757652471
8.9;0.06;0.953392691;0.79454;0.757508629
9;0.06;0.953213187;0.79454;0.757366006
9.1;0.06;0.9530352;0.79454;0.757224588
9.2;0.06;0.952858712;0.79454;0.757084361
9.3;0.06;0.952683705;0.79454;0.756945311
9.4;0.06;0.952510163;0.79454;0.756807425
9.5;0.06;0.95233807;0.79454;0.75667069
9.6;0.06;0.952167409;0.79454;0.756535093
9.7;0.06;0.951998165;0.79454;0.756400622
9.8;0.06;0.951830322;0.79454;0.756267264
9.9;0.06;0.951663864;0.79454;0.756135007
10;0.06;0.951498777;0.79454;0.756003838
10.1;0.06;0.951335046;0.79454;0.755873748
10.2;0.06;0.951172656;0.79454;0.755744722
10.3;0.06;0.951011594;0.79454;0.755616752
10.4;0.06;0.950851843;0.79454;0.755489824
10.5;0.06;0.950693392;0.79454;0.755363928
10.6;0.06;0.950536225;0.79454;0.755239052
10.7;0.06;0.95038033;0.79454;0.755115187
10.8;0.06;0.950225693;0.79454;0.754992322
10.9;0.06;0.9500723;0.79454;0.754870445
11;0.06;0.949920139;0.79454;0.754749548
11.1;0.06;0.949769197;0.79454;0.754629618
11.2;0.06;0.949619461;0.79454;0.754510647
11.3;0.06;0.949470919;0.79454;0.754392624
11.4;0.06;0.949323557;0.79454;0.754275539
11.5;0.06;0.949177364;0.79454;0.754159383
11.6;0.06;0.949032328;0.79454;0.754044146
11.7;0.06;0.948888437;0.79454;0.753929819
11.8;0.06;0.948745678;0.79454;0.753816391
11.9;0.06;0.94860404;0.79454;0.753703854
12;0.06;0.948463512;0.79454;0.753592199
12.1;0.06;0.948324082;0.79454;0.753481416
12.2;0.06;0.948185739;0.79454;0.753371497
12.3;0.06;0.948048472;0.79454;0.753262433
12.4;0.06;0.947912269;0.79454;0.753154214
12.5;0.06;0.947777119;0.79454;0.753046832
12.6;0.06;0.947643012;0.79454;0.752940279
12.7;0.06;0.947509938;0.79454;0.752834546
12.8;0.06;0.947377884;0.79454;0.752729624
12.9;0.06;0.947246842;0.79454;0.752625506
13;0.06;0.947116801;0.79454;0.752522183
13.1;0.06;0.94698775;0.79454;0.752419647
13.2;0.06;0.946859679;0.79454;0.75231789
13.3;0.06;0.946732579;0.79454;0.752216903
13.4;0.06;0.946606439;0.79454;0.75211668
13.5;0.06;0.94648125;0.79454;0.752017212
13.6;0.06;0.946357002;0.79454;0.751918492
13.7;0.06;0.946233684;0.79454;0.751820512
13.8;0.06;0.946111289;0.79454;0.751723264
13.9;0.06;0.945989807;0.79454;0.751626741
14;0.06;0.945869227;0.79454;0.751530936
14.1;0.06;0.945749542;0.79454;0.751435841
14.2;0.06;0.945630741;0.79454;0.751341449
14.3;0.06;0.945512816;0.79454;0.751247753
14.4;0.06;0.945395758;0.79454;0.751154746
14.5;0.06;0.945279559;0.79454;0.751062421
14.6;0.06;0.945164209;0.79454;0.750970771
14.7;0.06;0.9450497;0.79454;0.750879789
14.8;0.06;0.944936023;0.79454;0.750789468
14.9;0.06;0.944823171;0.79454;0.750699802
15;0.06;0.944711133;0.79454;0.750610784
15.1;0.06;0.944599904;0.79454;0.750522408
15.2;0.06;0.944489473;0.79454;0.750434666
15.3;0.06;0.944379834;0.79454;0.750347553
15.4;0.06;0.944270977;0.79454;0.750261062
15.5;0.06;0.944162896;0.79454;0.750175188
15.6;0.06;0.944055582;0.79454;0.750089923
15.7;0.06;0.943949028;0.79454;0.750005261
15.8;0.06;0.943843226;0.79454;0.749921197
15.9;0.06;0.943738169;0.79454;0.749837724
16;0.06;0.943633848;0.79454;0.749754837
16.1;0.06;0.943530256;0.79454;0.74967253
16.2;0.06;0.943427387;0.79454;0.749590796
16.3;0.06;0.943325233;0.79454;0.74950963
16.4;0.06;0.943223786;0.79454;0.749429027
