Time;Strain;Reduced Relaxation Function;Elastic Response;Stress
0;0.06;1;0;1.47335
0.1;0.06;0.998690507;1.47335;1.471420658
0.2;0.06;0.997444079;1.47335;1.469584233
0.3;0.06;0.996257129;1.47335;1.467835442
0.4;0.06;0.995126281;1.47335;1.466169306
0.5;0.06;0.994048352;1.47335;1.46458114
0.6;0.06;0.993020344;1.47335;1.463066524
0.7;0.06;0.992039434;1.47335;1.4616213
0.8;0.06;0.991102961;1.47335;1.460241547
0.9;0.06;0.990208418;1.47335;1.458923573
1;0.06;0.989353445;1.47335;1.457663898
1.1;0.06;0.988535817;1.47335;1.456459245
1.2;0.06;0.987753438;1.47335;1.455306527
1.3;0.06;0.987004334;1.47335;1.454202835
1.4;0.06;0.986286644;1.47335;1.453145427
1.5;0.06;0.985598617;1.47335;1.452131722
1.6;0.06;0.9849386;1.47335;1.451159287
1.7;0.06;0.984305039;1.47335;1.450225829
1.8;0.06;0.983696466;1.47335;1.449329189
1.9;0.06;0.983111502;1.47335;1.448467331
2;0.06;0.982548844;1.47335;1.447638339
2.1;0.06;0.982007267;1.47335;1.446840406
2.2;0.06;0.981485614;1.47335;1.446071829
2.3;0.06;0.980982798;1.47335;1.445331005
2.4;0.06;0.980497791;1.47335;1.444616421
2.5;0.06;0.980029628;1.47335;1.443926652
2.6;0.06;0.979577397;1.47335;1.443260358
2.7;0.06;0.979140239;1.47335;1.442616272
2.8;0.06;0.978717346;1.47335;1.441993202
2.9;0.06;0.978307954;1.47335;1.441390024
3;0.06;0.977911345;1.47335;1.44080568
3.1;0.06;0.977526841;1.47335;1.440239172
3.2;0.06;0.977153804;1.47335;1.439689558
3.3;0.06;0.976791632;1.47335;1.439155951
3.4;0.06;0.976439758;1.47335;1.438637517
3.5;0.06;0.976097645;1.47335;1.438133466
3.6;0.06;0.975764792;1.47335;1.437643056
3.7;0.06;0.975440721;1.47335;1.437165587
3.8;0.06;0.975124986;1.47335;1.436700398
3.9;0.06;0.974817163;1.47335;1.436246867
4;0.06;0.974516854;1.47335;1.435804406
4.1;0.06;0.974223683;1.47335;1.435372463
4.2;0.06;0.973937296;1.47335;1.434950515
4.3;0.06;0.973657359;1.47335;1.43453807
4.4;0.06;0.973383557;1.47335;1.434134664
4.5;0.06;0.973115593;1.47335;1.433739858
4.6;0.06;0.972853185;1.47335;1.433353241
4.7;0.06;0.972596071;1.47335;1.432974421
4.8;0.06;0.972344;1.47335;1.432603032
4.9;0.06;0.972096736;1.47335;1.432238726
5;0.06;0.971854058;1.47335;1.431881177
5.1;0.06;0.971615757;1.47335;1.431530075
5.2;0.06;0.971381633;1.47335;1.431185129
5.3;0.06;0.971151501;1.47335;1.430846065
5.4;0.06;0.970925185;1.47335;1.430512621
5.5;0.06;0.970702517;1.47335;1.430184553
5.6;0.06;0.97048334;1.47335;1.42986163
5.7;0.06;0.970267507;1.47335;1.429543632
5.8;0.06;0.970054878;1.47335;1.429230354
5.9;0.06;0.969845318;1.47335;1.4289216
6;0.06;0.969638705;1.47335;1.428617186
6.1;0.06;0.969434919;1.47335;1.428316938
6.2;0.06;0.969233849;1.47335;1.428020692
6.3;0.06;0.96903539;1.47335;1.427728291
6.4;0.06;0.968839441;1.47335;1.42743959
6.5;0.06;0.968645908;1.47335;1.427154448
6.6;0.06;0.968454702;1.47335;1.426872735
6.7;0.06;0.968265739;1.47335;1.426594327
6.8;0.06;0.968078939;1.47335;1.426319104
6.9;0.06;0.967894226;1.47335;1.426046958
7;0.06;0.967711529;1.47335;1.425777781
7.1;0.06;0.967530779;1.47335;1.425511474
7.2;0.06;0.967351914;1.47335;1.425247943
7.3;0.06;0.967174872;1.47335;1.424987098
7.4;0.06;0.966999596;1.47335;1.424728855
7.5;0.06;0.966826031;1.47335;1.424473133
7.6;0.06;0.966654126;1.47335;1.424219856
7.7;0.06;0.966483831;1.47335;1.423968952
7.8;0.06;0.9663151;1.47335;1.423720352
7.9;0.06;0.966147888;1.47335;1.423473991
8;0.06;0.965982155;1.47335;1.423229808
8.1;0.06;0.96581786;1.47335;1.422987744
8.2;0.06;0.965654965;1.47335;1.422747743
8.3;0.06;0.965493435;1.47335;1.422509753
8.4;0.06;0.965333236;1.47335;1.422273723
8.5;0.06;0.965174334;1.47335;1.422039605
8.6;0.06;0.965016699;1.47335;1.421807353
8.7;0.06;0.964860302;1.47335;1.421576925
8.8;0.06;0.964705114;1.47335;1.42134828
8.9;0.06;0.964551109;1.47335;1.421121377
9;0.06;0.964398262;1.47335;1.420896179
9.1;0.06;0.964246548;1.47335;1.420672651
9.2;0.06;0.964095944;1.47335;1.420450759
9.3;0.06;0.963946428;1.47335;1.42023047
9.4;0.06;0.963797979;1.47335;1.420011753
9.5;0.06;0.963650577;1.47335;1.419794577
9.6;0.06;0.963504202;1.47335;1.419578916
9.7;0.06;0.963358836;1.47335;1.419364741
9.8;0.06;0.963214461;1.47335;1.419152027
9.9;0.06;0.963071061;1.47335;1.418940748
10;0.06;0.962928619;1.47335;1.418730881
